1.110903799999999997e+00,3.428679999999999922e-02,2.757319999999999910e-02
8.600000000000000000e+02,1.028000000000000000e+03,1.071000000000000000e+03
1.212561999999999945e-01,2.440229999999999830e-02,1.689339999999999939e-02
6.480000000000000000e+02,7.390000000000000000e+02,6.740000000000000000e+02
9.814240000000000463e-02,9.861399999999999333e-03,4.406000000000000194e-03
6.280000000000000000e+02,7.720000000000000000e+02,8.230000000000000000e+02
2.546031999999999740e-01,1.402924999999999867e-01,1.336704999999999977e-01
2.269000000000000000e+03,2.469000000000000000e+03,2.458000000000000000e+03
1.054149000000000058e-01,1.583400000000000085e-02,1.450820000000000061e-02
4.700000000000000000e+03,4.786000000000000000e+03,5.155000000000000000e+03
2.599699999999999789e-01,1.842787999999999926e-01,1.777516000000000096e-01
1.593000000000000000e+03,1.780000000000000000e+03,1.734000000000000000e+03
6.979199999999999640e-03,7.981800000000000700e-03,5.983800000000000056e-03
3.686000000000000000e+03,3.828000000000000000e+03,5.128000000000000000e+03
